,label,caption
41,one does not simply,one does not simply start playing diablo iii
42,one does not simply,one does not simply  warm up mcdonalds french fries
43,one does not simply,one does not simply see the transit of venus by looking at the sun
44,one does not simply,"one does not simply become ""too old"" for pokemon"
45,one does not simply,one does not simply hiccup once
46,one does not simply,"one does not simply spell it ""simpley"""
47,one does not simply,"one does not simply ""visit"" 4chan"
48,one does not simply,one does not simply explain a meme to mom
49,one does not simply,"one does not simply play ""a little bit"" of civilization"
50,one does not simply,one does not simply play gta without cheats
51,one does not simply,one does not simply use grumpy cat for everything
